id,artist,uri,ntnl,mvmnt,born,died,subj_terms
141,"Erbslöh, Adolf",http://dbpedia.org/resource/Adolf_Erbsl%C3%B6h,nA,nA,nA,nA,nA
142,"Erdle, Artur",http://dbpedia.org/resource/Artur_Erdle,nA,nA,nA,nA,nA
143,"Eriksdun, Friedrich Rudolf",http://dbpedia.org/resource/Friedrich_Rudolf_Eriksdun,nA,nA,nA,nA,nA
144,"Ernst, Max",http://dbpedia.org/resource/Max_Ernst,German,"Dada, Surrealism",1891-04-02,1976-04-01,"People_from_Brühl_(Rhineland), Burials_at_Père_Lachaise_Cemetery, German_painters, People_from_Sedona,_Arizona, Modern_painters, People_from_the_Rhine_Province, 1891_births, 1976_deaths, Dada, University_of_Bonn_alumni, German_artists, Modern_sculptors, Surrealist_artists"
145,"Eulenstein, Karl",http://dbpedia.org/resource/Karl_Eulenstein,nA,nA,nA,nA,nA
146,"Ewald, Reinhold",http://dbpedia.org/resource/Reinhold_Ewald,Germany,nA,1956-12-18,nA,"European_amateur_radio_operators, German_astronauts, 1956_births, Living_people, Officers_Crosses_of_the_Order_of_Merit_of_the_Federal_Republic_of_Germany, European_astronauts"
147,"Faistauer, Anton",http://dbpedia.org/resource/Anton_Faistauer,nA,nA,nA,nA,"People_from_Salzburg, Austrian_painters, 1887_births, 1930_deaths"
148,"Fauconnier, Henri Le",http://dbpedia.org/resource/Henri_Le_Fauconnier,nA,nA,1881-07-05,1946-12-25,"1881_births, 1946_deaths, Cubist_artists, French_painters"
149,"Feibusch, Hans",http://dbpedia.org/resource/Hans_Feibusch,nA,nA,1898-08-15,1998-07-18,"German_Jews, Modern_art, Murals, 1898_births, 1998_deaths, British_Jews, Converts_to_Christianity_from_Judaism, British_artists, German_artists, Jewish_artists"
150,"Feigl, Friedrich",http://dbpedia.org/resource/Friedrich_Feigl,"Brazil, Austria",nA,1875-05-15,1971-01-23,"Brazilian_Jews, Brazilian_chemists, Brazilian_people_of_Austrian_descent, University_of_Vienna_faculty, Federal_University_of_Rio_de_Janeiro_faculty, Austrian_Jews, Austrian_chemists, 1891_births, 1971_deaths, Scientists_from_Vienna, Recipients_of_the_Austrian_Cross_of_Honour_for_Science_and_Art"
